Entry, Register(Num), Data Label, Unit, Scale, Access                              Total Entries: 1072
  424, 36476(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  425, 36477(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  426, 36478(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  427, 36479(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  428, 36480(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  429, 36481(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  430, 36482(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  431, 36483(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  432, 36484(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  433, 36485(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  434, 36486(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  435, 36487(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  436, 36488(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  437, 36489(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  438, 36490(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  439, 36491(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  440, 36492(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  441, 36493(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  442, 36494(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  443, 36495(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  444, 36496(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  445, 36497(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  446, 36498(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  447, 36499(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  448, 36500(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  449, 36501(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  450, 36502(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  451, 36503(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  452, 36504(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  453, 36505(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg C, x10, RO
  454, 36786(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  455, 36787(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  456, 36788(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  457, 36789(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  458, 36790(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  459, 36791(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  460, 36792(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  461, 36793(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  462, 36794(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  463, 36795(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  464, 36796(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  465, 36797(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
